INFO:root:Trying to spawn
INFO:root:Spawned?
INFO:root:Set active
INFO:root:Child Spawning Zork..
INFO:root:Child Waiting for prompt..
INFO:root:Child sending Zork initial output..
INFO:root:Trying to publish app_up_jason_26F60 :You are in an open field west of a big white house with a boarded
front door.
There is a small mailbox here.
INFO:root:Child start of loop
INFO:root:Child Trying to receive..
INFO:root:Subscribing to app_down_jason_26F60
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:pipe received message: {'type': 'message', 'pattern': None, 'channel': 'app_down_jason_26F60', 'data': ''}
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:pipe received message: {'type': 'message', 'pattern': None, 'channel': 'app_down_jason_26F60', 'data': ''}
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
INFO:root:Child Trying to receive..
